Amount,Description,Date,Category
250,Grocery shopping,2025-07-01,Food
120,Coffee at Starbucks,2025-07-01,Food
1000,Uber ride to airport,2025-07-02,Transport
1800,Electricity bill,2025-07-03,Bills
599,Amazon order,2025-07-04,Shopping
450,Lunch with friends,2025-07-05,
99,Mobile recharge,2025-07-06,Bills
3000,Flight ticket,2025-07-07,Travel
2200,Rent payment,2025-07-08,Housing
75,Snacks,2025-07-09,Food
129,Petrol refill,2025-07-10,Transport
412,Grocery shopping,2025-07-01,Food
95,Coffee,2025-07-01,Food
1450,Taxi ride,2025-07-02,Transport
2100,Electricity bill,2025-07-03,Bills
780,Online shopping,2025-07-04,Shopping
520,Lunch outing,2025-07-05,Food
110,Mobile recharge,2025-07-06,Bills
3200,Flight booking,2025-07-07,Travel
2500,Rent payment,2025-07-08,Housing
60,Snacks,2025-07-09,Food
140,Petrol,2025-07-10,Transport
890,Dinner,2025-07-11,Food
1200,Groceries,2025-07-12,Food
75,Coffee,2025-07-12,Food
1800,Train ticket,2025-07-13,Travel
2200,Internet bill,2025-07-14,Bills
430,Clothes,2025-07-15,Shopping
650,Restaurant,2025-07-16,Food
99,Recharge,2025-07-17,Bills
3100,Hotel booking,2025-07-18,Travel
2400,Rent,2025-07-19,Housing
85,Snacks,2025-07-20,Food
135,Fuel,2025-07-21,Transport
780,Groceries,2025-07-22,Food
150,Cafe,2025-07-23,Food
900,Uber ride,2025-07-24,Transport
1700,Electricity,2025-07-25,Bills
600,Amazon purchase,2025-07-26,Shopping
480,Lunch,2025-07-27,Food
120,Recharge,2025-07-28,Bills
3500,Flight ticket,2025-07-29,Travel
2600,Rent payment,2025-07-30,Housing
95,Snacks,2025-07-31,Food
130,Petrol,2025-08-01,Transport
870,Grocery shopping,2025-08-02,Food
110,Coffee,2025-08-03,Food
1400,Taxi ride,2025-08-04,Transport
2000,Electricity bill,2025-08-05,Bills
720,Online shopping,2025-08-06,Shopping
510,Lunch outing,2025-08-07,Food
115,Mobile recharge,2025-08-08,Bills
3300,Flight booking,2025-08-09,Travel
2550,Rent payment,2025-08-10,Housing
65,Snacks,2025-08-11,Food
145,Petrol,2025-08-12,Transport
910,Dinner,2025-08-13,Food
1250,Groceries,2025-08-14,Food
85,Coffee,2025-08-15,Food
1750,Train ticket,2025-08-16,Travel
2100,Internet bill,2025-08-17,Bills
460,Clothes,2025-08-18,Shopping
670,Restaurant,2025-08-19,Food
105,Recharge,2025-08-20,Bills
3200,Hotel booking,2025-08-21,Travel
2450,Rent,2025-08-22,Housing
90,Snacks,2025-08-23,Food
150,Fuel,2025-08-24,Transport
800,Groceries,2025-08-25,Food
160,Cafe,2025-08-26,Food
920,Uber ride,2025-08-27,Transport
1750,Electricity,2025-08-28,Bills
640,Amazon purchase,2025-08-29,Shopping
500,Lunch,2025-08-30,Food
130,Recharge,2025-08-31,Bills
3600,Flight ticket,2025-09-01,Travel
2700,Rent payment,2025-09-02,Housing
100,Snacks,2025-09-03,Food
140,Petrol,2025-09-04,Transport
